<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,30/09/21,00:00:00,363.2600000,364.5300000,359.5300000,360.8000000,69876200
GAZP,D,01/10/21,00:00:00,358.4500000,363.7800000,356.0000000,363.2500000,47529090
GAZP,D,04/10/21,00:00:00,364.6700000,378.3300000,364.3000000,376.0600000,102227330
GAZP,D,05/10/21,00:00:00,378.0600000,389.8200000,378.0300000,389.8200000,134521820
GAZP,D,06/10/21,00:00:00,394.9800000,397.6400000,370.2500000,381.3000000,216137070
GAZP,D,07/10/21,00:00:00,382.1800000,384.3000000,361.6100000,370.7000000,160398770
GAZP,D,08/10/21,00:00:00,371.5000000,373.0000000,364.7700000,366.1700000,70161810
GAZP,D,11/10/21,00:00:00,369.0000000,372.6100000,363.7000000,369.8100000,77995010
GAZP,D,12/10/21,00:00:00,367.2600000,368.8500000,362.2500000,364.1000000,56619460
GAZP,D,13/10/21,00:00:00,365.2400000,365.4400000,352.7100000,362.7700000,102086460
GAZP,D,14/10/21,00:00:00,366.4000000,369.7000000,364.3500000,367.0000000,59659170
GAZP,D,15/10/21,00:00:00,368.3100000,369.3500000,366.6100000,367.7600000,35816900
GAZP,D,18/10/21,00:00:00,365.0100000,366.4500000,360.1500000,363.5000000,42945850
GAZP,D,19/10/21,00:00:00,364.9800000,368.8300000,362.2400000,368.8300000,51429080
GAZP,D,20/10/21,00:00:00,367.9000000,370.7500000,365.5000000,369.9700000,39435100
GAZP,D,21/10/21,00:00:00,368.0000000,370.1900000,360.8800000,363.3700000,46351220
GAZP,D,22/10/21,00:00:00,361.3800000,364.1900000,357.4800000,358.1200000,48056440
GAZP,D,25/10/21,00:00:00,359.9900000,365.8400000,356.6900000,364.8400000,57268410
GAZP,D,26/10/21,00:00:00,365.0400000,369.3300000,362.5400000,364.8200000,51713180
GAZP,D,27/10/21,00:00:00,363.2700000,365.4900000,361.1800000,362.1700000,30579360
GAZP,D,28/10/21,00:00:00,360.9600000,362.0200000,351.6200000,353.2100000,86476220
GAZP,D,29/10/21,00:00:00,351.1000000,352.6000000,345.4000000,350.1800000,74862900
GAZP,D,01/11/21,00:00:00,350.3000000,359.3000000,350.3000000,359.1000000,46460760
GAZP,D,02/11/21,00:00:00,359.1600000,360.0000000,351.2400000,352.4800000,42925940
GAZP,D,03/11/21,00:00:00,350.5500000,353.8600000,346.6200000,353.0200000,37782790
GAZP,D,05/11/21,00:00:00,352.0000000,354.8000000,349.2300000,350.6000000,25553970
GAZP,D,08/11/21,00:00:00,353.0000000,356.3400000,348.3400000,351.4700000,39731410
GAZP,D,09/11/21,00:00:00,351.0600000,353.6100000,346.9900000,349.4600000,31015520
GAZP,D,10/11/21,00:00:00,349.8700000,351.2500000,344.2000000,345.8000000,35456770
GAZP,D,11/11/21,00:00:00,346.9400000,348.4300000,343.8000000,347.4400000,40212180
GAZP,D,12/11/21,00:00:00,346.8400000,347.1500000,331.0000000,333.6000000,127163510
GAZP,D,15/11/21,00:00:00,333.8100000,341.8100000,333.6700000,340.3000000,64140420
GAZP,D,16/11/21,00:00:00,341.4800000,342.8500000,331.6100000,336.7900000,64616650
GAZP,D,17/11/21,00:00:00,336.0000000,351.8200000,334.8300000,349.9800000,79007960
GAZP,D,18/11/21,00:00:00,350.0500000,359.3200000,342.2800000,345.5600000,101979450
GAZP,D,19/11/21,00:00:00,348.2700000,350.7300000,334.2000000,337.6200000,95994240
GAZP,D,22/11/21,00:00:00,334.9900000,335.6800000,316.6600000,319.2000000,151300550
GAZP,D,23/11/21,00:00:00,316.4500000,341.7700000,310.6200000,341.7700000,150432770
GAZP,D,24/11/21,00:00:00,343.8700000,348.0000000,332.7500000,338.3000000,93592790
GAZP,D,25/11/21,00:00:00,340.0000000,343.0000000,335.7000000,337.5500000,48702100
GAZP,D,26/11/21,00:00:00,325.0000000,332.0000000,320.1000000,326.0000000,103502140
GAZP,D,29/11/21,00:00:00,335.0000000,345.3300000,331.9600000,339.2000000,99152930
GAZP,D,30/11/21,00:00:00,332.4800000,342.5500000,331.5000000,334.2400000,130276980
GAZP,D,01/12/21,00:00:00,338.5700000,350.3700000,337.6100000,345.2100000,92906220
GAZP,D,02/12/21,00:00:00,347.3000000,352.6700000,344.8000000,350.3000000,75360830
GAZP,D,03/12/21,00:00:00,351.5000000,353.1300000,343.2100000,345.9900000,51627900
GAZP,D,06/12/21,00:00:00,347.2700000,349.3600000,333.3500000,338.9400000,70924550
GAZP,D,07/12/21,00:00:00,339.2500000,346.0000000,333.4300000,344.9600000,75507480
GAZP,D,08/12/21,00:00:00,346.0000000,348.4700000,336.5300000,340.5000000,78321390
GAZP,D,09/12/21,00:00:00,341.4500000,344.2000000,335.7200000,336.6000000,61406510
GAZP,D,10/12/21,00:00:00,337.0200000,338.3100000,329.9800000,332.0000000,44642520
GAZP,D,13/12/21,00:00:00,333.0900000,334.8800000,305.7600000,307.2600000,140577980
