<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;08/12/21;17:00:00;345.2900000;345.4900000;339.5900000;341.9600000;9985010
GAZP;60;08/12/21;18:00:00;341.9900000;341.9900000;338.1000000;339.0700000;8648210
GAZP;60;08/12/21;19:00:00;339.0700000;340.1300000;336.5300000;337.1100000;7955910
GAZP;60;08/12/21;20:00:00;337.3200000;340.9700000;337.0000000;340.4900000;3465290
GAZP;60;08/12/21;21:00:00;340.4900000;341.9000000;339.6600000;340.1700000;1524260
GAZP;60;08/12/21;22:00:00;340.0900000;341.8300000;339.3900000;341.5200000;982810
GAZP;60;08/12/21;23:00:00;341.6000000;341.8600000;341.0300000;341.2700000;717380
GAZP;60;09/12/21;00:00:00;341.2700000;341.5000000;340.0200000;340.5000000;542440
GAZP;60;09/12/21;08:00:00;341.4500000;341.5000000;338.1800000;339.1900000;744140
GAZP;60;09/12/21;09:00:00;339.2500000;341.6000000;339.2500000;340.5000000;578420
GAZP;60;09/12/21;10:00:00;340.7000000;341.4400000;340.0200000;340.1000000;571000
GAZP;60;09/12/21;11:00:00;340.1000000;344.2000000;338.5500000;343.6000000;9996690
GAZP;60;09/12/21;12:00:00;343.5900000;343.6800000;339.0000000;341.0000000;8321290
GAZP;60;09/12/21;13:00:00;341.0100000;341.7300000;337.5000000;339.4700000;6419990
GAZP;60;09/12/21;14:00:00;339.4700000;342.4400000;338.5900000;341.1900000;7937830
GAZP;60;09/12/21;15:00:00;341.1900000;341.2000000;339.2800000;340.0700000;2555640
GAZP;60;09/12/21;16:00:00;340.1000000;341.2000000;337.6000000;338.9900000;6197410
GAZP;60;09/12/21;17:00:00;338.8600000;340.0700000;338.0800000;339.2000000;3263580
GAZP;60;09/12/21;18:00:00;339.2000000;339.4100000;336.4500000;337.3900000;4977040
GAZP;60;09/12/21;19:00:00;337.3000000;338.7000000;336.9400000;337.8300000;4605970
GAZP;60;09/12/21;20:00:00;338.2900000;339.0000000;337.5000000;338.0200000;1090800
GAZP;60;09/12/21;21:00:00;338.1400000;338.7000000;337.7500000;338.7000000;450150
GAZP;60;09/12/21;22:00:00;338.6300000;339.0000000;338.1400000;338.5300000;418010
GAZP;60;09/12/21;23:00:00;338.7100000;338.8000000;335.9100000;335.9900000;1686460
GAZP;60;10/12/21;00:00:00;335.9900000;336.8500000;335.7200000;336.6000000;1592090
GAZP;60;10/12/21;08:00:00;337.0200000;337.5000000;335.8000000;335.9700000;526720
GAZP;60;10/12/21;09:00:00;335.8000000;336.6000000;335.7200000;336.1000000;504180
GAZP;60;10/12/21;10:00:00;336.0000000;337.8000000;335.9600000;337.1200000;508070
GAZP;60;10/12/21;11:00:00;337.3400000;338.3100000;335.0000000;336.2800000;4094700
GAZP;60;10/12/21;12:00:00;336.1700000;337.3700000;332.7400000;333.0000000;6738650
GAZP;60;10/12/21;13:00:00;333.0000000;335.0000000;332.4400000;334.5900000;3971710
GAZP;60;10/12/21;14:00:00;334.5900000;335.7800000;334.0800000;335.0100000;2310740
GAZP;60;10/12/21;15:00:00;335.1500000;335.4400000;333.6600000;335.1200000;2528870
GAZP;60;10/12/21;16:00:00;335.2300000;337.2500000;334.9200000;335.9300000;2875230
GAZP;60;10/12/21;17:00:00;335.9500000;335.9900000;332.8000000;334.0000000;5603210
GAZP;60;10/12/21;18:00:00;334.0700000;334.4400000;330.6200000;331.3000000;4820970
GAZP;60;10/12/21;19:00:00;331.1900000;332.2900000;329.9800000;330.8000000;6219160
GAZP;60;10/12/21;20:00:00;330.8000000;332.1000000;330.7500000;331.5100000;1234640
GAZP;60;10/12/21;21:00:00;331.6300000;332.2200000;331.6100000;331.9900000;690120
GAZP;60;10/12/21;22:00:00;331.9800000;332.3100000;331.5000000;331.8500000;581290
GAZP;60;10/12/21;23:00:00;331.8400000;332.1700000;331.5800000;332.0100000;752030
GAZP;60;11/12/21;00:00:00;332.0800000;332.6000000;331.9500000;332.0000000;682230
GAZP;60;13/12/21;08:00:00;333.0900000;334.8800000;332.5000000;333.6900000;1303170
GAZP;60;13/12/21;09:00:00;333.6900000;333.7900000;331.3700000;331.8500000;1081400
GAZP;60;13/12/21;10:00:00;331.8500000;333.6900000;331.3100000;333.5400000;1158680
GAZP;60;13/12/21;11:00:00;333.5200000;333.5200000;327.0900000;327.2200000;7664330
GAZP;60;13/12/21;12:00:00;327.3200000;328.5000000;322.8400000;322.8600000;20861140
GAZP;60;13/12/21;13:00:00;322.8600000;324.0600000;319.8100000;323.5500000;15101160
GAZP;60;13/12/21;14:00:00;323.5600000;325.8200000;323.1400000;325.5500000;5120680
GAZP;60;13/12/21;15:00:00;325.5500000;326.4800000;323.0600000;323.7900000;4659780
GAZP;60;13/12/21;16:00:00;323.7700000;323.8600000;318.1000000;319.0100000;10971950
GAZP;60;13/12/21;17:00:00;319.1000000;321.8000000;317.4000000;317.7200000;15322060
GAZP;60;13/12/21;18:00:00;317.7700000;322.3000000;316.2000000;320.9600000;14728380
GAZP;60;13/12/21;19:00:00;321.0000000;321.0400000;315.0000000;317.3500000;15878240
GAZP;60;13/12/21;20:00:00;317.3500000;317.9700000;315.7800000;315.9000000;2753740
GAZP;60;13/12/21;21:00:00;315.9500000;316.9500000;314.5100000;316.2600000;3243030
GAZP;60;13/12/21;22:00:00;316.2600000;316.4000000;313.0000000;313.5800000;3097450
GAZP;60;13/12/21;23:00:00;313.6000000;314.0900000;305.7600000;309.4000000;10768790
GAZP;60;14/12/21;00:00:00;309.4000000;310.5000000;307.0000000;307.2600000;6864000
GAZP;60;14/12/21;08:00:00;306.9900000;309.2900000;289.7800000;296.7600000;24950100
GAZP;60;14/12/21;09:00:00;297.0300000;308.6400000;295.1000000;304.0200000;13411840
GAZP;60;14/12/21;10:00:00;304.0400000;307.8000000;301.1000000;306.4600000;8010430
GAZP;60;14/12/21;11:00:00;306.3500000;319.5900000;306.3500000;315.0500000;34520920
GAZP;60;14/12/21;12:00:00;315.1900000;319.2800000;311.4800000;318.6300000;18135180
GAZP;60;14/12/21;13:00:00;318.6400000;320.0000000;314.8000000;315.9300000;12734780
GAZP;60;14/12/21;14:00:00;315.7500000;317.3200000;314.3200000;316.7300000;6372280
GAZP;60;14/12/21;15:00:00;316.7200000;316.7600000;311.1100000;314.0200000;9298280
GAZP;60;14/12/21;16:00:00;314.1900000;318.0000000;313.7100000;317.1400000;7710390
GAZP;60;14/12/21;17:00:00;317.1900000;319.2000000;315.3400000;316.8000000;8360010
GAZP;60;14/12/21;18:00:00;316.7200000;319.9600000;315.2100000;318.2700000;9795410
GAZP;60;14/12/21;19:00:00;318.0900000;318.9700000;316.5500000;317.2200000;7333500
GAZP;60;14/12/21;20:00:00;316.5900000;317.5600000;315.6400000;315.6500000;2020720
GAZP;60;14/12/21;21:00:00;315.7400000;316.6300000;315.2200000;316.0000000;1018900
GAZP;60;14/12/21;22:00:00;316.0000000;317.8700000;315.9000000;317.4000000;1126170
GAZP;60;14/12/21;23:00:00;317.4000000;319.2000000;317.3100000;318.6200000;1724210
GAZP;60;15/12/21;00:00:00;318.5600000;319.9900000;318.5400000;319.3500000;2149840
GAZP;60;15/12/21;08:00:00;319.6500000;322.3500000;318.4800000;320.9500000;3539430
GAZP;60;15/12/21;09:00:00;320.9500000;324.0000000;320.1400000;322.4500000;3665950
GAZP;60;15/12/21;10:00:00;322.4600000;323.4000000;321.3600000;322.8400000;3023610
GAZP;60;15/12/21;11:00:00;322.8400000;323.5800000;318.6400000;319.7200000;8667910
GAZP;60;15/12/21;12:00:00;319.7200000;323.5000000;319.5900000;321.5700000;8813200
GAZP;60;15/12/21;13:00:00;321.4100000;322.4000000;321.2000000;321.4700000;4191370
GAZP;60;15/12/21;14:00:00;321.4800000;321.9400000;320.9200000;321.7300000;4980460
GAZP;60;15/12/21;15:00:00;321.7800000;322.0000000;321.0000000;321.6000000;2448820
GAZP;60;15/12/21;16:00:00;321.6200000;321.8000000;320.2300000;320.2900000;3757870
GAZP;60;15/12/21;17:00:00;320.3500000;322.7200000;319.6500000;321.5000000;9089470
GAZP;60;15/12/21;18:00:00;321.4700000;322.9700000;318.5400000;319.6000000;6534230
GAZP;60;15/12/21;19:00:00;319.5700000;319.5700000;316.5000000;319.0900000;7368630
GAZP;60;15/12/21;20:00:00;319.2000000;320.4900000;318.3500000;320.4400000;2084520
GAZP;60;15/12/21;21:00:00;320.4600000;320.9900000;319.5100000;320.5100000;1213560
GAZP;60;15/12/21;22:00:00;320.5100000;320.7000000;319.7500000;320.6000000;738810
GAZP;60;15/12/21;23:00:00;320.6000000;322.5500000;319.8300000;321.5000000;4772670
GAZP;60;16/12/21;00:00:00;321.5000000;325.8300000;321.5000000;324.0900000;4852310
GAZP;60;16/12/21;08:00:00;326.1800000;328.4000000;325.3800000;327.5300000;3971270
GAZP;60;16/12/21;09:00:00;327.7300000;329.9900000;326.8500000;329.3600000;2684450
GAZP;60;16/12/21;10:00:00;329.3700000;329.4900000;327.6000000;328.5900000;2768170
GAZP;60;16/12/21;11:00:00;328.5900000;329.9000000;326.6700000;329.0200000;10783670
GAZP;60;16/12/21;12:00:00;329.0200000;330.9600000;328.2000000;330.2600000;9359510
GAZP;60;16/12/21;13:00:00;330.2900000;330.7700000;329.7300000;330.2500000;4472450
GAZP;60;16/12/21;14:00:00;330.2500000;330.4100000;328.7800000;329.2500000;5026480
GAZP;60;16/12/21;15:00:00;329.2500000;332.0500000;329.1900000;331.9500000;6865400
GAZP;60;16/12/21;16:00:00;331.9900000;332.3000000;328.7000000;330.4800000;17400780
GAZP;60;16/12/21;17:00:00;330.4700000;331.7500000;329.8900000;331.0400000;6657460
GAZP;60;16/12/21;18:00:00;331.0400000;331.1900000;329.0700000;329.8600000;7576980
GAZP;60;16/12/21;19:00:00;329.7200000;330.1600000;327.6900000;328.3400000;7485310
GAZP;60;16/12/21;20:00:00;328.7900000;330.1600000;327.5200000;329.2600000;3468400
GAZP;60;16/12/21;21:00:00;329.2800000;329.9200000;328.1400000;328.5700000;1316840
GAZP;60;16/12/21;22:00:00;328.6800000;330.6000000;328.5500000;330.4800000;1698970
GAZP;60;16/12/21;23:00:00;330.5800000;330.6000000;326.1000000;327.4900000;2520380
GAZP;60;17/12/21;00:00:00;327.4900000;328.8900000;326.1500000;328.3900000;1412810
GAZP;60;17/12/21;08:00:00;327.9800000;329.5000000;326.0100000;328.7300000;1896370
GAZP;60;17/12/21;09:00:00;328.7900000;329.2900000;327.5400000;327.7500000;656740
GAZP;60;17/12/21;10:00:00;327.6200000;328.0000000;326.6200000;327.3500000;1320760
GAZP;60;17/12/21;11:00:00;327.2900000;327.3500000;323.6000000;325.6200000;8064840
GAZP;60;17/12/21;12:00:00;325.5800000;326.9400000;323.8000000;325.4200000;4278600
GAZP;60;17/12/21;13:00:00;325.4200000;325.6800000;323.3000000;324.8100000;5306800
GAZP;60;17/12/21;14:00:00;324.9100000;325.2100000;323.0300000;324.3600000;4558230
GAZP;60;17/12/21;15:00:00;324.2500000;327.2200000;323.9300000;327.1300000;4346890
GAZP;60;17/12/21;16:00:00;327.1400000;327.5400000;325.5400000;326.9200000;3949780
GAZP;60;17/12/21;17:00:00;326.9900000;329.7000000;326.5800000;328.1400000;5905270
GAZP;60;17/12/21;18:00:00;328.0900000;329.3000000;326.0000000;326.9200000;4158990
GAZP;60;17/12/21;19:00:00;326.9100000;327.3200000;325.0100000;325.3600000;22257420
GAZP;60;17/12/21;20:00:00;326.0600000;327.9800000;325.8100000;326.8300000;2168100
GAZP;60;17/12/21;21:00:00;326.8300000;327.5000000;326.4500000;326.9500000;813940
GAZP;60;17/12/21;22:00:00;326.9000000;327.2700000;326.5000000;327.0100000;570440
GAZP;60;17/12/21;23:00:00;327.0000000;327.5000000;326.7500000;327.4400000;648110
GAZP;60;18/12/21;00:00:00;327.3900000;327.7000000;327.0400000;327.3000000;1198130
GAZP;60;20/12/21;08:00:00;324.0000000;325.8000000;321.0000000;323.2700000;4767640
